Date,Code,Name,Close,Marcap,Stocks,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Institution_Net_Est_Value,Foreign_Net_Est_Value,Basket,KOSPI_Marcap,KOSPI_Share_Pct
2026-06-26,005930,삼성전자,339500.0,1984811587416000.0,5846278608,339500.0,-3593889.0,-5975701.0,-1220125315500.0,-2028750489500.0,반도체,6885382217962999.0,28.826454720812798
2026-06-26,003230,삼양식품,1111000.0,8369179665000.0,7533015,1111000.0,5207.0,-3515.0,5784977000.0,-3905165000.0,생활소비재,6885382217962999.0,0.12154996483951146
2026-06-26,015760,한국전력,37100.0,23816867256700.0,641964077,37100.0,-75568.0,199243.0,-2803572800.0,7391915300.0,생활소비재,6885382217962999.0,0.34590479515523664
2026-06-26,033780,KT&G,167400.0,17377870334400.0,103810456,167400.0,-23080.0,14847.0,-3863592000.0,2485387800.0,생활소비재,6885382217962999.0,0.2523878818094305
2026-06-26,090430,아모레퍼시픽,97000.0,5673797623000.0,58492759,97000.0,41546.0,-40897.0,4029962000.0,-3967009000.0,생활소비재,6885382217962999.0,0.08240352450148454
2026-06-26,278470,에이피알,363000.0,13590050265000.0,37438155,363000.0,1667.0,-19021.0,605121000.0,-6904623000.0,생활소비재,6885382217962999.0,0.19737539376602012
2026-06-29,024110,기업은행,20150.0,16068131260350.0,797425869,20150.0,150068.0,-108152.0,3023870200.0,-2179262800.0,금융,6864567783312275.0,0.2340734590663018
2026-06-29,032830,삼성생명,408500.0,81700000000000.0,200000000,408500.0,-5058.0,15650.0,-2066193000.0,6393025000.0,금융,6864567783312275.0,1.1901696156109383
2026-06-29,055550,신한지주,96400.0,45756680400400.0,474654361,96400.0,176578.0,-73058.0,17022119200.0,-7042791200.0,금융,6864567783312275.0,0.6665631667536918
2026-06-29,086790,하나금융지주,114800.0,31497417470400.0,274367748,114800.0,-1979.0,35767.0,-227189200.0,4106051600.0,금융,6864567783312275.0,0.458840504816196
