Date,Code,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Name,Stocks,Marcap,Close,Latest_Name,Latest_Stocks,Basket,Foreign_Net_Est_Value,Institution_Net_Est_Value
2026-06-12,316140,31150.0,607611.0,-243530.0,우리금융지주,734076320.0,22866477368000.0,31150.0,우리금융지주,728089682,금융,-7585959500.0,18927082650.0
2026-06-12,000660,2150000.0,-270178.0,573440.0,SK하이닉스,712702365.0,1532310084750000.0,2150000.0,SK하이닉스,730492365,반도체,1232896000000.0,-580882700000.0
2026-06-12,005930,322500.0,3295009.0,2880306.0,삼성전자,5846278608.0,1885424851080000.0,322500.0,삼성전자,5846278608,반도체,928898685000.0,1062640402500.0
2026-06-12,003230,1145000.0,-9892.0,-6356.0,삼양식품,7533015.0,8625302175000.0,1145000.0,삼양식품,7533015,생활소비재,-7277620000.0,-11326340000.0
2026-06-12,015760,37650.0,396161.0,317491.0,한국전력,641964077.0,24169947499050.0,37650.0,한국전력,641964077,생활소비재,11953536150.0,14915461650.0
2026-06-12,033780,187800.0,-50050.0,73907.0,KT&G,103810456.0,19495603636800.0,187800.0,KT&G,103810456,생활소비재,13879734600.0,-9399390000.0
2026-06-12,090430,112000.0,-22476.0,-1730.0,아모레퍼시픽,58492759.0,6551189008000.0,112000.0,아모레퍼시픽,58492759,생활소비재,-193760000.0,-2517312000.0
2026-06-12,278470,394000.0,-33235.0,-36548.0,에이피알,37438155.0,14750633070000.0,394000.0,에이피알,37438155,생활소비재,-14399912000.0,-13094590000.0
2026-06-15,024110,22400.0,328103.0,60608.0,기업은행,797425869.0,17862339465600.0,22400.0,기업은행,797425869,금융,1357619200.0,7349507200.0
2026-06-15,032830,423000.0,-7779.0,34090.0,삼성생명,200000000.0,84600000000000.0,423000.0,삼성생명,200000000,금융,14420070000.0,-3290517000.0
2026-06-15,055550,105600.0,-224677.0,495227.0,신한지주,474654361.0,50123500521600.0,105600.0,신한지주,469450239,금융,52295971200.0,-23725891200.0
2026-06-15,086790,129300.0,83544.0,146775.0,하나금융지주,274367748.0,35475749816400.0,129300.0,하나금융지주,274367748,금융,18978007500.0,10802239200.0
2026-06-15,105560,169600.0,82260.0,171107.0,KB금융,354687734.0,60155039686400.0,169600.0,KB금융,354687734,금융,29019747200.0,13951296000.0
2026-06-15,316140,32550.0,88049.0,533762.0,우리금융지주,734076320.0,23894184216000.0,32550.0,우리금융지주,728089682,금융,17373953100.0,2865994950.0
2026-06-15,000660,2288000.0,165238.0,180233.0,SK하이닉스,712702365.0,1630663011120000.0,2288000.0,SK하이닉스,730492365,반도체,412373104000.0,378064544000.0
2026-06-15,005930,337000.0,531697.0,-1828940.0,삼성전자,5846278608.0,1970195890896000.0,337000.0,삼성전자,5846278608,반도체,-616352780000.0,179181889000.0
2026-06-15,003230,1139000.0,-15500.0,6670.0,삼양식품,7533015.0,8580104085000.0,1139000.0,삼양식품,7533015,생활소비재,7597130000.0,-17654500000.0
2026-06-15,015760,41400.0,1157313.0,-613708.0,한국전력,641964077.0,26577312787800.0,41400.0,한국전력,641964077,생활소비재,-25407511200.0,47912758200.0
2026-06-15,033780,188500.0,48767.0,-48301.0,KT&G,103810456.0,19568270956000.0,188500.0,KT&G,103810456,생활소비재,-9104738500.0,9192579500.0
2026-06-15,090430,112500.0,-32507.0,-12162.0,아모레퍼시픽,58492759.0,6580435387500.0,112500.0,아모레퍼시픽,58492759,생활소비재,-1368225000.0,-3657037500.0
2026-06-15,278470,416000.0,-10821.0,60590.0,에이피알,37438155.0,15574272480000.0,416000.0,에이피알,37438155,생활소비재,25205440000.0,-4501536000.0
2026-06-16,024110,23100.0,1566843.0,-485303.0,기업은행,797425869.0,18420537573900.0,23100.0,기업은행,797425869,금융,-11210499300.0,36194073300.0
2026-06-16,032830,431000.0,-10011.0,24030.0,삼성생명,200000000.0,86200000000000.0,431000.0,삼성생명,200000000,금융,10356930000.0,-4314741000.0
2026-06-16,055550,106700.0,51383.0,-21206.0,신한지주,474654361.0,50645620318700.0,106700.0,신한지주,469450239,금융,-2262680200.0,5482566100.0
2026-06-16,086790,132000.0,-37481.0,183706.0,하나금융지주,274367748.0,36216542736000.0,132000.0,하나금융지주,274367748,금융,24249192000.0,-4947492000.0
2026-06-16,105560,172000.0,-21412.0,123647.0,KB금융,354687734.0,61006290248000.0,172000.0,KB금융,354687734,금융,21267284000.0,-3682864000.0
2026-06-16,316140,33050.0,292965.0,379298.0,우리금융지주,734076320.0,24261222376000.0,33050.0,우리금융지주,728089682,금융,12535798900.0,9682493250.0
2026-06-16,000660,2382000.0,238957.0,351894.0,SK하이닉스,712702365.0,1697657033430000.0,2382000.0,SK하이닉스,730492365,반도체,838211508000.0,569195574000.0
2026-06-16,005930,343000.0,839414.0,-27451.0,삼성전자,5846278608.0,2005273562544000.0,343000.0,삼성전자,5846278608,반도체,-9415693000.0,287919002000.0
2026-06-16,003230,1143000.0,-4169.0,3981.0,삼양식품,7533015.0,8610236145000.0,1143000.0,삼양식품,7533015,생활소비재,4550283000.0,-4765167000.0
2026-06-16,015760,39800.0,-227419.0,-587183.0,한국전력,641964077.0,25550170264600.0,39800.0,한국전력,641964077,생활소비재,-23369883400.0,-9051276200.0
2026-06-16,033780,185000.0,-184282.0,152869.0,KT&G,103810456.0,19204934360000.0,185000.0,KT&G,103810456,생활소비재,28280765000.0,-34092170000.0
2026-06-16,090430,110400.0,-63795.0,8443.0,아모레퍼시픽,58492759.0,6457600593600.0,110400.0,아모레퍼시픽,58492759,생활소비재,932107200.0,-7042968000.0
2026-06-16,278470,399500.0,-21480.0,-19646.0,에이피알,37438155.0,14956542922500.0,399500.0,에이피알,37438155,생활소비재,-7848577000.0,-8581260000.0
2026-06-17,024110,22450.0,39733.0,-144542.0,기업은행,797425869.0,17902210759050.0,22450.0,기업은행,797425869,금융,-3244967900.0,892005850.0
2026-06-17,032830,447000.0,-23781.0,31386.0,삼성생명,200000000.0,89400000000000.0,447000.0,삼성생명,200000000,금융,14029542000.0,-10630107000.0
2026-06-17,055550,103100.0,44604.0,-142541.0,신한지주,474654361.0,48936864619100.0,103100.0,신한지주,469450239,금융,-14695977100.0,4598672400.0
2026-06-17,086790,126800.0,-10173.0,-19961.0,하나금융지주,274367748.0,34789830446400.0,126800.0,하나금융지주,274367748,금융,-2531054800.0,-1289936400.0
2026-06-17,105560,164000.0,-49032.0,-109977.0,KB금융,354687734.0,58168788376000.0,164000.0,KB금융,354687734,금융,-18036228000.0,-8041248000.0
2026-06-17,316140,32150.0,-132299.0,106851.0,우리금융지주,734076320.0,23600553688000.0,32150.0,우리금융지주,728089682,금융,3435259650.0,-4253412850.0
2026-06-17,000660,2521000.0,341331.0,74908.0,SK하이닉스,712702365.0,1796722662165000.0,2521000.0,SK하이닉스,730492365,반도체,188843068000.0,860495451000.0
2026-06-17,005930,346500.0,1133803.0,-2000080.0,삼성전자,5846278608.0,2025735537672000.0,346500.0,삼성전자,5846278608,반도체,-693027720000.0,392862739500.0
2026-06-17,003230,1145000.0,-792.0,613.0,삼양식품,7533015.0,8625302175000.0,1145000.0,삼양식품,7533015,생활소비재,701885000.0,-906840000.0
2026-06-17,015760,40500.0,334461.0,-691370.0,한국전력,641964077.0,25999545118500.0,40500.0,한국전력,641964077,생활소비재,-28000485000.0,13545670500.0
2026-06-17,033780,187200.0,-4077.0,16186.0,KT&G,103810456.0,19433317363200.0,187200.0,KT&G,103810456,생활소비재,3030019200.0,-763214400.0
2026-06-17,090430,109900.0,-54362.0,20069.0,아모레퍼시픽,58492759.0,6428354214100.0,109900.0,아모레퍼시픽,58492759,생활소비재,2205583100.0,-5974383800.0
2026-06-17,278470,408500.0,-3379.0,16711.0,에이피알,37438155.0,15293486317500.0,408500.0,에이피알,37438155,생활소비재,6826443500.0,-1380321500.0
2026-06-18,024110,21850.0,17715.0,82602.0,기업은행,797425869.0,17423755237650.0,21850.0,기업은행,797425869,금융,1804853700.0,387072750.0
2026-06-18,032830,469000.0,80650.0,-56474.0,삼성생명,200000000.0,93800000000000.0,469000.0,삼성생명,200000000,금융,-26486306000.0,37824850000.0
2026-06-18,055550,100800.0,-178194.0,154966.0,신한지주,474654361.0,47845159588800.0,100800.0,신한지주,469450239,금융,15620572800.0,-17961955200.0
2026-06-18,086790,126100.0,-161450.0,210375.0,하나금융지주,274367748.0,34597773022800.0,126100.0,하나금융지주,274367748,금융,26528287500.0,-20358845000.0
2026-06-18,105560,163100.0,-276000.0,204913.0,KB금융,354687734.0,57849569415400.0,163100.0,KB금융,354687734,금융,33421310300.0,-45015600000.0
2026-06-18,316140,31550.0,-170257.0,247542.0,우리금융지주,734076320.0,23160107896000.0,31550.0,우리금융지주,728089682,금융,7809950100.0,-5371608350.0
2026-06-18,000660,2685000.0,38559.0,25375.0,SK하이닉스,712702365.0,1913605850025000.0,2685000.0,SK하이닉스,730492365,반도체,68131875000.0,103530915000.0
2026-06-18,005930,362500.0,1943262.0,2424675.0,삼성전자,5846278608.0,2119275995400000.0,362500.0,삼성전자,5846278608,반도체,878944687500.0,704432475000.0
2026-06-18,003230,1111000.0,-6532.0,-2814.0,삼양식품,7533015.0,8369179665000.0,1111000.0,삼양식품,7533015,생활소비재,-3126354000.0,-7257052000.0
